"N° d'inventaire","Libellé 1 (Ph.)","Libellé 2 (Ph.)","Date créat. (Ph.)","Date inventaire","Date ctrl inventaire","Code barre","Etab. (Ph.)","Site (Ph.)","Niveau (Ph.)","Sect. ana. (Ph.)","Date d'acquisition","Montant H.T.","Marque","Fournisseur","Compte (Ph.)","Rapproché","Valide (Ph.)","Sortie (Ph.)","Code budget","Demande engagement","N° de commande",""
"200012142921","SPECTROFLUORIMETRE SHIMADZU","MONTE AVEC CHAINE HPLC","1/1/2001","11/6/2002","11/6/2002","13339","12204901","MPL EXTERIEU","CP-IRD MPL","218410","12/1/2000","10,671.43","","BECKMAN","215410","Oui","Oui","Non","9000003181","JL VERDEIL","H280000330",""
"200012143785","SPECTROFLUORIMETRE SHIMADZU","","11/4/2002","11/19/2002","10/5/2004","13359","12204","LAVALETTE","16237","210032","3/23/2000","9,549.41","SHIMADZU","TOUZART","215410","Oui","Oui","Non","9000002174","D BERRY","H250000051",""
"200012144178","SPECTROMETRE ","+ PC + ECRAN + IMPRIMANTE","9/18/2002","2/6/2003","10/6/2004","13407","12204","LAVALETTE","16144","461303","9/18/2002","36,000.00","","BRUKER","215410","Oui","Oui","Non","9000005248","H BAILLERES","",""
"200012143912","SPECTRORADIOMETRE UNISPEC","","10/10/2002","4/28/2004","4/28/2004","13806","12204","LAVALETTE","PS2204","214513","10/10/2002","22,311.00","UNISPEC"," AGEPIC","215410","Oui","Oui","Non","9000005322","J DAUZAT","D110200539","portable vgtx"
"200012145251","SPECTROPHOTOMETRE DU-530","","11/1/2004","2/15/2005","2/15/2005","13979","12204","LAVALETTE","03021","214943","11/1/2004","6,433.26","","BECKMAN","215410","Oui","Oui","Non","9000007402","POISSON BREI","090405993",""
"200012145254","SPECTROPHOTOMETRE ODYSSEY","BUREAU 58","10/27/2004","2/16/2005","2/16/2005","14002","12204","LAVALETTE","CEM000","214974","10/27/2004","2,896.95","ODYSSEY","VWR","215410","Oui","Oui","Non","9000007392","L DABBDADIE","060401488",""
"200012145776","SPECTROPHOTOMETRE CORONA","","1/23/2006","2/13/2006","2/13/2006","14199","12204","LAVALETTE","16339","210029","11/3/2005","18,198.21","CORONA","PHOTON LINES","215410","Oui","Oui","Non","9000008631","G SELF","E500500977",""
"200012145953","SPECTROMETRE PROCHE INFRAROUGE","","12/12/2005","2/21/2006","2/21/2006","14240","12204","BAILLARGUET","A014","216235","2/21/2006","21,485.00",""," BONSAI","215410","Oui","Oui","Non","9000008839","","C300502366",""
"200012146404","SPECTROPHOTOMETRE JENWAY","","10/1/2006","2/19/2008","2/19/2008","14401","12204","LAVALETTE","16329","214418","10/1/2006","3,706.51","","LEGALLAIS","215410","Oui","Oui","Non","900009627","D PIOCH","D400605921",""
"200012146379","SPECTROPHOTOMETRE DE MASSE ","","12/13/2006","10/8/2008","10/8/2008","14599","12204","LAVALETTE","16321","212453","12/13/2006","161,403.20","","THERMO ELECTRON","215410","Oui","Oui","Non","9000010053","G PIOMBO","B790604810",""
